procedure_code,description,procedure_group
28106,Remove/graft foot lesion,Surgery
28107,Remove/graft foot lesion,Surgery
28108,Removal of toe lesions,Surgery
28110,Part removal of metatarsal,Surgery
28111,Part removal of metatarsal,Surgery
28112,Part removal of metatarsal,Surgery
28113,Part removal of metatarsal,Surgery
28114,Removal of metatarsal heads,Surgery
28116,Revision of foot,Surgery
28118,Removal of heel bone,Surgery
28119,Removal of heel spur,Surgery
28120,Part removal of ankle/heel,Surgery
28122,Partial removal of foot bone,Surgery
28124,Partial removal of toe,Surgery
28126,Partial removal of toe,Surgery
28130,Removal of ankle bone,Surgery
28140,Removal of metatarsal,Surgery
28150,Removal of toe,Surgery
28153,Partial removal of toe,Surgery
28160,Partial removal of toe,Surgery
28171,Extensive foot surgery,Surgery
28173,Extensive foot surgery,Surgery
28175,Extensive foot surgery,Surgery
28190,Removal of foot foreign body,Surgery
28192,Removal of foot foreign body,Surgery
28193,Removal of foot foreign body,Surgery
28200,Repair of foot tendon,Surgery
28202,Repair/graft of foot tendon,Surgery
28208,Repair of foot tendon,Surgery
28210,Repair/graft of foot tendon,Surgery
28220,Release of foot tendon,Surgery
28222,Release of foot tendons,Surgery
28225,Release of foot tendon,Surgery
28226,Release of foot tendons,Surgery
28230,Incision of foot tendon(s),Surgery
28232,Incision of toe tendon,Surgery
28234,Incision of foot tendon,Surgery
28238,Revision of foot tendon,Surgery
28240,Release of big toe,Surgery
28250,Revision of foot fascia,Surgery
28260,Release of midfoot joint,Surgery
28261,Revision of foot tendon,Surgery
28262,Revision of foot and ankle,Surgery
28264,Release of midfoot joint,Surgery
28270,Release of foot contracture,Surgery
28272,"Release of toe joint, each",Surgery
28280,Fusion of toes,Surgery
28285,Repair of hammertoe,Surgery
28286,Repair of hammertoe,Surgery
28288,Partial removal of foot bone,Surgery
28289,Repair hallux rigidus,Surgery
28290,Correction of bunion,Surgery
28292,Correction of bunion,Surgery
28293,Correction of bunion,Surgery
28294,Correction of bunion,Surgery
28296,Correction of bunion,Surgery
28297,Correction of bunion,Surgery
28298,Correction of bunion,Surgery
28299,Correction of bunion,Surgery
28300,Incision of heel bone,Surgery
28302,Incision of ankle bone,Surgery
28304,Incision of midfoot bones,Surgery
28305,Incise/graft midfoot bones,Surgery
28306,Incision of metatarsal,Surgery
28307,Incision of metatarsal,Surgery
28308,Incision of metatarsal,Surgery
28309,Incision of metatarsals,Surgery
28310,Revision of big toe,Surgery
28312,Revision of toe,Surgery
28313,Repair deformity of toe,Surgery
28315,Removal of sesamoid bone,Surgery
28320,Repair of foot bones,Surgery
28322,Repair of metatarsals,Surgery
28340,Resect enlarged toe tissue,Surgery
28341,Resect enlarged toe,Surgery
28344,Repair extra toe(s),Surgery
28345,Repair webbed toe(s),Surgery
28360,Reconstruct cleft foot,Surgery
28400,Treatment of heel fracture,Surgery
28405,Treatment of heel fracture,Surgery
28406,Treatment of heel fracture,Surgery
28415,Treat heel fracture,Surgery
28420,Treat/graft heel fracture,Surgery
28430,Treatment of ankle fracture,Surgery
28435,Treatment of ankle fracture,Surgery
28436,Treatment of ankle fracture,Surgery
28445,Treat ankle fracture,Surgery
28450,"Treat midfoot fracture, each",Surgery
28455,"Treat midfoot fracture, each",Surgery
28456,Treat midfoot fracture,Surgery
28465,"Treat midfoot fracture, each",Surgery
28470,Treat metatarsal fracture,Surgery
28475,Treat metatarsal fracture,Surgery
28476,Treat metatarsal fracture,Surgery
28485,Treat metatarsal fracture,Surgery
28490,Treat big toe fracture,Surgery
28495,Treat big toe fracture,Surgery
28496,Treat big toe fracture,Surgery
28505,Treat big toe fracture,Surgery
28510,Treatment of toe fracture,Surgery
28515,Treatment of toe fracture,Surgery
28525,Treat toe fracture,Surgery
28530,Treat sesamoid bone fracture,Surgery
28531,Treat sesamoid bone fracture,Surgery
28540,Treat foot dislocation,Surgery
28545,Treat foot dislocation,Surgery
28546,Treat foot dislocation,Surgery
28555,Repair foot dislocation,Surgery
28570,Treat foot dislocation,Surgery
28575,Treat foot dislocation,Surgery
28576,Treat foot dislocation,Surgery
28585,Repair foot dislocation,Surgery
28600,Treat foot dislocation,Surgery
28605,Treat foot dislocation,Surgery
28606,Treat foot dislocation,Surgery
28615,Repair foot dislocation,Surgery
28630,Treat toe dislocation,Surgery
28635,Treat toe dislocation,Surgery
28636,Treat toe dislocation,Surgery
28645,Repair toe dislocation,Surgery
28660,Treat toe dislocation,Surgery
28665,Treat toe dislocation,Surgery
28666,Treat toe dislocation,Surgery
28675,Repair of toe dislocation,Surgery
28705,Fusion of foot bones,Surgery
28715,Fusion of foot bones,Surgery
28725,Fusion of foot bones,Surgery
28730,Fusion of foot bones,Surgery
28735,Fusion of foot bones,Surgery
28737,Revision of foot bones,Surgery
28740,Fusion of foot bones,Surgery
28750,Fusion of big toe joint,Surgery
28755,Fusion of big toe joint,Surgery
28760,Fusion of big toe joint,Surgery
28800,Amputation of midfoot,Surgery
28805,Amputation thru metatarsal,Surgery
28810,Amputation toe & metatarsal,Surgery
28820,Amputation of toe,Surgery
28825,Partial amputation of toe,Surgery
28899,Foot/toes surgery procedure,Surgery
29000,Application of body cast,Surgery
29010,Application of body cast,Surgery
29015,Application of body cast,Surgery
29020,Application of body cast,Surgery
29025,Application of body cast,Surgery
29035,Application of body cast,Surgery
29040,Application of body cast,Surgery
29044,Application of body cast,Surgery
29046,Application of body cast,Surgery
29049,Application of figure eight,Surgery
29055,Application of shoulder cast,Surgery
29058,Application of shoulder cast,Surgery
29065,Application of long arm cast,Surgery
29075,Application of forearm cast,Surgery
29085,Apply hand/wrist cast,Surgery
29086,Apply finger cast,Surgery
29105,Apply long arm splint,Surgery
29125,Apply forearm splint,Surgery
29126,Apply forearm splint,Surgery
29130,Application of finger splint,Surgery
29131,Application of finger splint,Surgery
29200,Strapping of chest,Surgery
29220,Strapping of low back,Surgery
29240,Strapping of shoulder,Surgery
29260,Strapping of elbow or wrist,Surgery
29280,Strapping of hand or finger,Surgery
29305,Application of hip cast,Surgery
29325,Application of hip casts,Surgery
29345,Application of long leg cast,Surgery
29355,Application of long leg cast,Surgery
29358,Apply long leg cast brace,Surgery
29365,Application of long leg cast,Surgery
29405,Apply short leg cast,Surgery
29425,Apply short leg cast,Surgery
29435,Apply short leg cast,Surgery
29440,Addition of walker to cast,Surgery
29445,Apply rigid leg cast,Surgery
29450,Application of leg cast,Surgery
29505,"Application, long leg splint",Surgery
29515,Application lower leg splint,Surgery
29520,Strapping of hip,Surgery
29530,Strapping of knee,Surgery
29540,Strapping of ankle and/or ft,Surgery
29550,Strapping of toes,Surgery
29580,Application of paste boot,Surgery
29590,Application of foot splint,Surgery
29700,Removal/revision of cast,Surgery
29705,Removal/revision of cast,Surgery
29710,Removal/revision of cast,Surgery
29715,Removal/revision of cast,Surgery
29720,Repair of body cast,Surgery
29730,Windowing of cast,Surgery
29740,Wedging of cast,Surgery
29750,Wedging of clubfoot cast,Surgery
29799,Casting/strapping procedure,Surgery
29800,Jaw arthroscopy/surgery,Surgery
29804,Jaw arthroscopy/surgery,Surgery
29805,"Shoulder arthroscopy, dx",Surgery
29806,Shoulder arthroscopy/surgery,Surgery
29807,Shoulder arthroscopy/surgery,Surgery
29819,Shoulder arthroscopy/surgery,Surgery
29820,Shoulder arthroscopy/surgery,Surgery
29821,Shoulder arthroscopy/surgery,Surgery
29822,Shoulder arthroscopy/surgery,Surgery
29823,Shoulder arthroscopy/surgery,Surgery
29824,Shoulder arthroscopy/surgery,Surgery
29825,Shoulder arthroscopy/surgery,Surgery
29826,Shoulder arthroscopy/surgery,Surgery
29827,Arthroscop rotator cuff repr,Surgery
29830,Elbow arthroscopy,Surgery
29834,Elbow arthroscopy/surgery,Surgery
29835,Elbow arthroscopy/surgery,Surgery
29836,Elbow arthroscopy/surgery,Surgery
29837,Elbow arthroscopy/surgery,Surgery
29838,Elbow arthroscopy/surgery,Surgery
29840,Wrist arthroscopy,Surgery
29843,Wrist arthroscopy/surgery,Surgery
29844,Wrist arthroscopy/surgery,Surgery
29845,Wrist arthroscopy/surgery,Surgery
29846,Wrist arthroscopy/surgery,Surgery
29847,Wrist arthroscopy/surgery,Surgery
29848,Wrist endoscopy/surgery,Surgery
29850,Knee arthroscopy/surgery,Surgery
29851,Knee arthroscopy/surgery,Surgery
29855,Tibial arthroscopy/surgery,Surgery
29856,Tibial arthroscopy/surgery,Surgery
29860,"Hip arthroscopy, dx",Surgery
29861,Hip arthroscopy/surgery,Surgery
29862,Hip arthroscopy/surgery,Surgery
29863,Hip arthroscopy/surgery,Surgery
29866,"Autgrft implnt, knee w/scope",Surgery
29867,"Allgrft implnt, knee w/scope",Surgery
29868,"Meniscal trnspl, knee w/scpe",Surgery
29870,"Knee arthroscopy, dx",Surgery
29871,Knee arthroscopy/drainage,Surgery
29873,Knee arthroscopy/surgery,Surgery
29874,Knee arthroscopy/surgery,Surgery
29875,Knee arthroscopy/surgery,Surgery
29876,Knee arthroscopy/surgery,Surgery
29877,Knee arthroscopy/surgery,Surgery
29879,Knee arthroscopy/surgery,Surgery
29880,Knee arthroscopy/surgery,Surgery
29881,Knee arthroscopy/surgery,Surgery
29882,Knee arthroscopy/surgery,Surgery
29883,Knee arthroscopy/surgery,Surgery
29884,Knee arthroscopy/surgery,Surgery
29885,Knee arthroscopy/surgery,Surgery
29886,Knee arthroscopy/surgery,Surgery
29887,Knee arthroscopy/surgery,Surgery
29888,Knee arthroscopy/surgery,Surgery
29889,Knee arthroscopy/surgery,Surgery
29891,Ankle arthroscopy/surgery,Surgery
29892,Ankle arthroscopy/surgery,Surgery
29893,"Scope, plantar fasciotomy",Surgery
29894,Ankle arthroscopy/surgery,Surgery
29895,Ankle arthroscopy/surgery,Surgery
29897,Ankle arthroscopy/surgery,Surgery
29898,Ankle arthroscopy/surgery,Surgery
29899,Ankle arthroscopy/surgery,Surgery
29900,"Mcp joint arthroscopy, dx",Surgery
29901,"Mcp joint arthroscopy, surg",Surgery
29902,"Mcp joint arthroscopy, surg",Surgery
29999,Arthroscopy of joint,Surgery
30000,Drainage of nose lesion,Surgery
30020,Drainage of nose lesion,Surgery
30100,Intranasal biopsy,Surgery
30110,Removal of nose polyp(s),Surgery
30115,Removal of nose polyp(s),Surgery
30117,Removal of intranasal lesion,Surgery
30118,Removal of intranasal lesion,Surgery
30120,Revision of nose,Surgery
30124,Removal of nose lesion,Surgery
30125,Removal of nose lesion,Surgery
30130,Removal of turbinate bones,Surgery
30140,Removal of turbinate bones,Surgery
30150,Partial removal of nose,Surgery
30160,Removal of nose,Surgery
30200,Injection treatment of nose,Surgery
30210,Nasal sinus therapy,Surgery
30220,Insert nasal septal button,Surgery
30300,Remove nasal foreign body,Surgery
30310,Remove nasal foreign body,Surgery
30320,Remove nasal foreign body,Surgery
30400,Reconstruction of nose,Surgery
30410,Reconstruction of nose,Surgery
30420,Reconstruction of nose,Surgery
30430,Revision of nose,Surgery
30435,Revision of nose,Surgery
30450,Revision of nose,Surgery
30460,Revision of nose,Surgery
30462,Revision of nose,Surgery
30465,Repair nasal stenosis,Surgery
30520,Repair of nasal septum,Surgery
30540,Repair nasal defect,Surgery
30545,Repair nasal defect,Surgery
30560,Release of nasal adhesions,Surgery
30580,Repair upper jaw fistula,Surgery
30600,Repair mouth/nose fistula,Surgery
30620,Intranasal reconstruction,Surgery
30630,Repair nasal septum defect,Surgery
30801,"Cauterization, inner nose",Surgery
30802,"Cauterization, inner nose",Surgery
30901,Control of nosebleed,Surgery
30903,Control of nosebleed,Surgery
30905,Control of nosebleed,Surgery
30906,Repeat control of nosebleed,Surgery
30915,"Ligation, nasal sinus artery",Surgery
30920,"Ligation, upper jaw artery",Surgery
30930,"Therapy, fracture of nose",Surgery
30999,Nasal surgery procedure,Surgery
31000,"Irrigation, maxillary sinus",Surgery
31002,"Irrigation, sphenoid sinus",Surgery
31020,"Exploration, maxillary sinus",Surgery
31030,"Exploration, maxillary sinus",Surgery
31032,"Explore sinus, remove polyps",Surgery
31040,Exploration behind upper jaw,Surgery
31050,"Exploration, sphenoid sinus",Surgery
31051,Sphenoid sinus surgery,Surgery
31070,Exploration of frontal sinus,Surgery
31075,Exploration of frontal sinus,Surgery
31080,Removal of frontal sinus,Surgery
31081,Removal of frontal sinus,Surgery
31084,Removal of frontal sinus,Surgery
31085,Removal of frontal sinus,Surgery
31086,Removal of frontal sinus,Surgery
31087,Removal of frontal sinus,Surgery
31090,Exploration of sinuses,Surgery
31200,Removal of ethmoid sinus,Surgery
31201,Removal of ethmoid sinus,Surgery
31205,Removal of ethmoid sinus,Surgery
31225,Removal of upper jaw,Surgery
31230,Removal of upper jaw,Surgery
31231,"Nasal endoscopy, dx",Surgery
31233,"Nasal/sinus endoscopy, dx",Surgery
31235,"Nasal/sinus endoscopy, dx",Surgery
31237,"Nasal/sinus endoscopy, surg",Surgery
31238,"Nasal/sinus endoscopy, surg",Surgery
31239,"Nasal/sinus endoscopy, surg",Surgery
31240,"Nasal/sinus endoscopy, surg",Surgery
31254,Revision of ethmoid sinus,Surgery
31255,Removal of ethmoid sinus,Surgery
31256,Exploration maxillary sinus,Surgery
31267,"Endoscopy, maxillary sinus",Surgery
31276,"Sinus endoscopy, surgical",Surgery
31287,"Nasal/sinus endoscopy, surg",Surgery
31288,"Nasal/sinus endoscopy, surg",Surgery
31290,"Nasal/sinus endoscopy, surg",Surgery
31291,"Nasal/sinus endoscopy, surg",Surgery
31292,"Nasal/sinus endoscopy, surg",Surgery
31293,"Nasal/sinus endoscopy, surg",Surgery
31294,"Nasal/sinus endoscopy, surg",Surgery
31299,Sinus surgery procedure,Surgery
31300,Removal of larynx lesion,Surgery
31320,"Diagnostic incision, larynx",Surgery
31360,Removal of larynx,Surgery
31365,Removal of larynx,Surgery
31367,Partial removal of larynx,Surgery
31368,Partial removal of larynx,Surgery
31370,Partial removal of larynx,Surgery
31375,Partial removal of larynx,Surgery
31380,Partial removal of larynx,Surgery
31382,Partial removal of larynx,Surgery
31390,Removal of larynx & pharynx,Surgery
31395,Reconstruct larynx & pharynx,Surgery
31400,Revision of larynx,Surgery
31420,Removal of epiglottis,Surgery
31500,Insert emergency airway,Surgery
31502,Change of windpipe airway,Surgery
31505,Diagnostic laryngoscopy,Surgery
31510,Laryngoscopy with biopsy,Surgery
31511,"Remove foreign body, larynx",Surgery
31512,Removal of larynx lesion,Surgery
31513,Injection into vocal cord,Surgery
31515,Laryngoscopy for aspiration,Surgery
31520,Diagnostic laryngoscopy,Surgery
31525,Diagnostic laryngoscopy,Surgery
31526,Diagnostic laryngoscopy,Surgery
31527,Laryngoscopy for treatment,Surgery
31528,Laryngoscopy and dilation,Surgery
31529,Laryngoscopy and dilation,Surgery
31530,Operative laryngoscopy,Surgery
31531,Operative laryngoscopy,Surgery
31535,Operative laryngoscopy,Surgery
31536,Operative laryngoscopy,Surgery
31540,Operative laryngoscopy,Surgery
31541,Operative laryngoscopy,Surgery
31545,Remove vc lesion w/scope,Surgery
31546,Remove vc lesion scope/graft,Surgery
31560,Operative laryngoscopy,Surgery
31561,Operative laryngoscopy,Surgery
31570,Laryngoscopy with injection,Surgery
31571,Laryngoscopy with injection,Surgery
31575,Diagnostic laryngoscopy,Surgery
31576,Laryngoscopy with biopsy,Surgery
31577,"Remove foreign body, larynx",Surgery
31578,Removal of larynx lesion,Surgery
31579,Diagnostic laryngoscopy,Surgery
31580,Revision of larynx,Surgery
31582,Revision of larynx,Surgery
31584,Treat larynx fracture,Surgery
31585,Treat larynx fracture,Surgery
31586,Treat larynx fracture,Surgery
31587,Revision of larynx,Surgery
31588,Revision of larynx,Surgery
31590,Reinnervate larynx,Surgery
31595,Larynx nerve surgery,Surgery
31599,Larynx surgery procedure,Surgery
31600,Incision of windpipe,Surgery
31601,Incision of windpipe,Surgery
31603,Incision of windpipe,Surgery
31605,Incision of windpipe,Surgery
31610,Incision of windpipe,Surgery
31611,Surgery/speech prosthesis,Surgery
31612,Puncture/clear windpipe,Surgery
31613,Repair windpipe opening,Surgery
31614,Repair windpipe opening,Surgery
31615,Visualization of windpipe,Surgery
31620,Endobronchial us add-on,Surgery
31622,Dx bronchoscope/wash,Surgery
31623,Dx bronchoscope/brush,Surgery
31624,Dx bronchoscope/lavage,Surgery
31625,Bronchoscopy w/biopsy(s),Surgery
31628,"Bronchoscopy/lung bx, each",Surgery
31629,"Bronchoscopy/needle bx, each",Surgery
31630,Bronchoscopy dilate/fx repr,Surgery
31631,"Bronchoscopy, dilate w/stent",Surgery
31632,"Bronchoscopy/lung bx, add?l",Surgery
31633,Bronchoscopy/needle bx add?l,Surgery
31635,Bronchoscopy w/fb removal,Surgery
31636,"Bronchoscopy, bronch stents",Surgery
31637,"Bronchoscopy, stent add-on",Surgery
31638,"Bronchoscopy, revise stent",Surgery
31640,Bronchoscopy w/tumor excise,Surgery
31641,"Bronchoscopy, treat blockage",Surgery
31643,Diag bronchoscope/catheter,Surgery
31645,"Bronchoscopy, clear airways",Surgery
31646,"Bronchoscopy, reclear airway",Surgery
31656,"Bronchoscopy, inj for x-ray",Surgery
31700,Insertion of airway catheter,Surgery
31708,Instill airway contrast dye,Surgery
31710,Insertion of airway catheter,Surgery
31715,Injection for bronchus x-ray,Surgery
31717,Bronchial brush biopsy,Surgery
31720,Clearance of airways,Surgery
31725,Clearance of airways,Surgery
31730,"Intro, windpipe wire/tube",Surgery
31750,Repair of windpipe,Surgery
31755,Repair of windpipe,Surgery
31760,Repair of windpipe,Surgery
31766,Reconstruction of windpipe,Surgery
31770,Repair/graft of bronchus,Surgery
31775,Reconstruct bronchus,Surgery
31780,Reconstruct windpipe,Surgery
31781,Reconstruct windpipe,Surgery
31785,Remove windpipe lesion,Surgery
31786,Remove windpipe lesion,Surgery
31800,Repair of windpipe injury,Surgery
31805,Repair of windpipe injury,Surgery
31820,Closure of windpipe lesion,Surgery
31825,Repair of windpipe defect,Surgery
31830,Revise windpipe scar,Surgery
31899,Airways surgical procedure,Surgery
32000,Drainage of chest,Surgery
32002,Treatment of collapsed lung,Surgery
32005,Treat lung lining chemically,Surgery
32019,Insert pleural catheter,Surgery
32020,Insertion of chest tube,Surgery
32035,Exploration of chest,Surgery
32036,Exploration of chest,Surgery
32095,Biopsy through chest wall,Surgery
32100,Exploration/biopsy of chest,Surgery
32110,Explore/repair chest,Surgery
32120,Re-exploration of chest,Surgery
32124,Explore chest free adhesions,Surgery
32140,Removal of lung lesion(s),Surgery
32141,Remove/treat lung lesions,Surgery
32150,Removal of lung lesion(s),Surgery
32151,Remove lung foreign body,Surgery
32160,Open chest heart massage,Surgery
32200,"Drain, open, lung lesion",Surgery
32201,"Drain, percut, lung lesion",Surgery
32215,Treat chest lining,Surgery
32220,Release of lung,Surgery
32225,Partial release of lung,Surgery
32310,Removal of chest lining,Surgery
32320,Free/remove chest lining,Surgery
32400,Needle biopsy chest lining,Surgery
32402,Open biopsy chest lining,Surgery
32405,"Biopsy, lung or mediastinum",Surgery
32420,Puncture/clear lung,Surgery
32440,Removal of lung,Surgery
32442,Sleeve pneumonectomy,Surgery
32445,Removal of lung,Surgery
32480,Partial removal of lung,Surgery
32482,Bilobectomy,Surgery
32484,Segmentectomy,Surgery
32486,Sleeve lobectomy,Surgery
32488,Completion pneumonectomy,Surgery
32491,Lung volume reduction,Surgery
32500,Partial removal of lung,Surgery
32501,Repair bronchus add-on,Surgery
32520,Remove lung & revise chest,Surgery
32522,Remove lung & revise chest,Surgery
32525,Remove lung & revise chest,Surgery
32540,Removal of lung lesion,Surgery
32601,"Thoracoscopy, diagnostic",Surgery
32602,"Thoracoscopy, diagnostic",Surgery
32603,"Thoracoscopy, diagnostic",Surgery
32604,"Thoracoscopy, diagnostic",Surgery
32605,"Thoracoscopy, diagnostic",Surgery
32606,"Thoracoscopy, diagnostic",Surgery
32650,"Thoracoscopy, surgical",Surgery
32651,"Thoracoscopy, surgical",Surgery
32652,"Thoracoscopy, surgical",Surgery
32653,"Thoracoscopy, surgical",Surgery
32654,"Thoracoscopy, surgical",Surgery
32655,"Thoracoscopy, surgical",Surgery
32656,"Thoracoscopy, surgical",Surgery
32657,"Thoracoscopy, surgical",Surgery
32658,"Thoracoscopy, surgical",Surgery
32659,"Thoracoscopy, surgical",Surgery
32660,"Thoracoscopy, surgical",Surgery
32661,"Thoracoscopy, surgical",Surgery
32662,"Thoracoscopy, surgical",Surgery
32663,"Thoracoscopy, surgical",Surgery
32664,"Thoracoscopy, surgical",Surgery
32665,"Thoracoscopy, surgical",Surgery
32800,Repair lung hernia,Surgery
32810,Close chest after drainage,Surgery
32815,Close bronchial fistula,Surgery
32820,Reconstruct injured chest,Surgery
32850,Donor pneumonectomy,Surgery
32851,"Lung transplant, single",Surgery
32852,Lung transplant with bypass,Surgery
32853,"Lung transplant, double",Surgery
32854,Lung transplant with bypass,Surgery
32855,"Prepare donor lung, single",Surgery
32856,"Prepare donor lung, double",Surgery
32900,Removal of rib(s),Surgery
32905,Revise & repair chest wall,Surgery
32906,Revise & repair chest wall,Surgery
32940,Revision of lung,Surgery
32960,Therapeutic pneumothorax,Surgery
32997,Total lung lavage,Surgery
32999,Chest surgery procedure,Surgery
33010,Drainage of heart sac,Surgery
33011,Repeat drainage of heart sac,Surgery
33015,Incision of heart sac,Surgery
33020,Incision of heart sac,Surgery
33025,Incision of heart sac,Surgery
33030,Partial removal of heart sac,Surgery
33031,Partial removal of heart sac,Surgery
33050,Removal of heart sac lesion,Surgery
33120,Removal of heart lesion,Surgery
33130,Removal of heart lesion,Surgery
33140,Heart revascularize (tmr),Surgery
33141,Heart tmr w/other procedure,Surgery
33200,Insertion of heart pacemaker,Surgery
33201,Insertion of heart pacemaker,Surgery
33206,Insertion of heart pacemaker,Surgery
33207,Insertion of heart pacemaker,Surgery
33208,Insertion of heart pacemaker,Surgery
33210,Insertion of heart electrode,Surgery
33211,Insertion of heart electrode,Surgery
33212,Insertion of pulse generator,Surgery
33213,Insertion of pulse generator,Surgery
33214,Upgrade of pacemaker system,Surgery
33215,Reposition pacing-defib lead,Surgery
33216,"Insert lead pace-defib, one",Surgery
33217,"Insert lead pace-defib, dual",Surgery
33218,"Repair lead pace-defib, one",Surgery
33220,"Repair lead pace-defib, dual",Surgery
33222,"Revise pocket, pacemaker",Surgery
33223,"Revise pocket, pacing-defib",Surgery
33224,Insert pacing lead & connect,Surgery
33225,L ventric pacing lead add-on,Surgery
33226,Reposition l ventric lead,Surgery
33233,Removal of pacemaker system,Surgery
33234,Removal of pacemaker system,Surgery
33235,Removal pacemaker electrode,Surgery
33236,Remove electrode/thoracotomy,Surgery
33237,Remove electrode/thoracotomy,Surgery
33238,Remove electrode/thoracotomy,Surgery
33240,Insert pulse generator,Surgery
33241,Remove pulse generator,Surgery
33243,Remove eltrd/thoracotomy,Surgery
33244,"Remove eltrd, transven",Surgery
33245,Insert epic eltrd pace-defib,Surgery
33246,Insert epic eltrd/generator,Surgery
33249,Eltrd/insert pace-defib,Surgery
33250,Ablate heart dysrhythm focus,Surgery
33251,Ablate heart dysrhythm focus,Surgery
33253,Reconstruct atria,Surgery
33261,Ablate heart dysrhythm focus,Surgery
33282,Implant pat-active ht record,Surgery
33284,Remove pat-active ht record,Surgery
33300,Repair of heart wound,Surgery
33305,Repair of heart wound,Surgery
33310,Exploratory heart surgery,Surgery
33315,Exploratory heart surgery,Surgery
33320,Repair major blood vessel(s),Surgery
33321,Repair major vessel,Surgery
33322,Repair major blood vessel(s),Surgery
33330,Insert major vessel graft,Surgery
33332,Insert major vessel graft,Surgery
33335,Insert major vessel graft,Surgery
33400,Repair of aortic valve,Surgery
33401,"Valvuloplasty, open",Surgery
33403,"Valvuloplasty, w/cp bypass",Surgery
33404,Prepare heart-aorta conduit,Surgery
33405,Replacement of aortic valve,Surgery
33406,Replacement of aortic valve,Surgery
33410,Replacement of aortic valve,Surgery
33411,Replacement of aortic valve,Surgery
33412,Replacement of aortic valve,Surgery
33413,Replacement of aortic valve,Surgery
33414,Repair of aortic valve,Surgery
33415,"Revision, subvalvular tissue",Surgery
33416,Revise ventricle muscle,Surgery
33417,Repair of aortic valve,Surgery
33420,Revision of mitral valve,Surgery
33422,Revision of mitral valve,Surgery
33425,Repair of mitral valve,Surgery
33426,Repair of mitral valve,Surgery
33427,Repair of mitral valve,Surgery
33430,Replacement of mitral valve,Surgery
33460,Revision of tricuspid valve,Surgery
33463,"Valvuloplasty, tricuspid",Surgery
33464,"Valvuloplasty, tricuspid",Surgery
33465,Replace tricuspid valve,Surgery
33468,Revision of tricuspid valve,Surgery
33470,Revision of pulmonary valve,Surgery
33471,"Valvotomy, pulmonary valve",Surgery
33472,Revision of pulmonary valve,Surgery
33474,Revision of pulmonary valve,Surgery
33475,"Replacement, pulmonary valve",Surgery
33476,Revision of heart chamber,Surgery
33478,Revision of heart chamber,Surgery
33496,"Repair, prosth valve clot",Surgery
33500,Repair heart vessel fistula,Surgery
33501,Repair heart vessel fistula,Surgery
33502,Coronary artery correction,Surgery
33503,Coronary artery graft,Surgery
33504,Coronary artery graft,Surgery
33505,Repair artery w/tunnel,Surgery
33506,"Repair artery, translocation",Surgery
33508,Endoscopic vein harvest,Surgery
33510,"CABG, vein, single",Surgery
33511,"CABG, vein, two",Surgery
33512,"CABG, vein, three",Surgery
33513,"CABG, vein, four",Surgery
33514,"CABG, vein, five",Surgery
33516,"Cabg, vein, six or more",Surgery
33517,"CABG, artery-vein, single",Surgery
33518,"CABG, artery-vein, two",Surgery
33519,"CABG, artery-vein, three",Surgery
33521,"CABG, artery-vein, four",Surgery
33522,"CABG, artery-vein, five",Surgery
33523,"Cabg, art-vein, six or more",Surgery
33530,"Coronary artery, bypass/reop",Surgery
33533,"CABG, arterial, single",Surgery
33534,"CABG, arterial, two",Surgery
33535,"CABG, arterial, three",Surgery
33536,"Cabg, arterial, four or more",Surgery
33542,Removal of heart lesion,Surgery
33545,Repair of heart damage,Surgery
33572,Open coronary endarterectomy,Surgery
33600,Closure of valve,Surgery
33602,Closure of valve,Surgery
33606,Anastomosis/artery-aorta,Surgery
33608,Repair anomaly w/conduit,Surgery
33610,Repair by enlargement,Surgery
33611,Repair double ventricle,Surgery
33612,Repair double ventricle,Surgery
33615,"Repair, modified fontan",Surgery
33617,Repair single ventricle,Surgery
33619,Repair single ventricle,Surgery
33641,Repair heart septum defect,Surgery
33645,Revision of heart veins,Surgery
33647,Repair heart septum defects,Surgery
33660,Repair of heart defects,Surgery
33665,Repair of heart defects,Surgery
33670,Repair of heart chambers,Surgery
33681,Repair heart septum defect,Surgery
33684,Repair heart septum defect,Surgery
33688,Repair heart septum defect,Surgery
33690,Reinforce pulmonary artery,Surgery
33692,Repair of heart defects,Surgery
33694,Repair of heart defects,Surgery
33697,Repair of heart defects,Surgery
33702,Repair of heart defects,Surgery
33710,Repair of heart defects,Surgery
33720,Repair of heart defect,Surgery
33722,Repair of heart defect,Surgery
33730,Repair heart-vein defect(s),Surgery
33732,Repair heart-vein defect,Surgery
33735,Revision of heart chamber,Surgery
33736,Revision of heart chamber,Surgery
33737,Revision of heart chamber,Surgery
33750,Major vessel shunt,Surgery
33755,Major vessel shunt,Surgery
33762,Major vessel shunt,Surgery
33764,Major vessel shunt & graft,Surgery
33766,Major vessel shunt,Surgery
33767,Major vessel shunt,Surgery
33770,Repair great vessels defect,Surgery
33771,Repair great vessels defect,Surgery
33774,Repair great vessels defect,Surgery
33775,Repair great vessels defect,Surgery
33776,Repair great vessels defect,Surgery
33777,Repair great vessels defect,Surgery
33778,Repair great vessels defect,Surgery
33779,Repair great vessels defect,Surgery
33780,Repair great vessels defect,Surgery
33781,Repair great vessels defect,Surgery
33786,Repair arterial trunk,Surgery
33788,Revision of pulmonary artery,Surgery
33800,Aortic suspension,Surgery
